Generation:	1168	Best fitness:	155.8421768707483	Average fitness:	318.0353197278913	Fitness standard deviation:	46.97171552223786	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1184	Best fitness:	155.8421768707483	Average fitness:	314.1227482993197	Fitness standard deviation:	51.79325736275811	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1200	Best fitness:	155.8421768707483	Average fitness:	321.9873197278913	Fitness standard deviation:	47.75116447858862	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1216	Best fitness:	155.8421768707483	Average fitness:	324.020462585034	Fitness standard deviation:	45.71361126645333	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1232	Best fitness:	155.8421768707483	Average fitness:	318.4330340136055	Fitness standard deviation:	44.202381112333754	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1248	Best fitness:	155.8421768707483	Average fitness:	317.8541768707483	Fitness standard deviation:	45.92667877548886	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1264	Best fitness:	155.8421768707483	Average fitness:	312.15646258503415	Fitness standard deviation:	42.38827947363155	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1280	Best fitness:	155.8421768707483	Average fitness:	323.0656054421769	Fitness standard deviation:	52.172709009478844	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1296	Best fitness:	155.8421768707483	Average fitness:	316.3907482993198	Fitness standard deviation:	51.385867031823494	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1312	Best fitness:	155.8421768707483	Average fitness:	332.0501768707483	Fitness standard deviation:	45.98756248538227	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1328	Best fitness:	155.8421768707483	Average fitness:	305.75303401360554	Fitness standard deviation:	45.862829959765534	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1344	Best fitness:	155.8421768707483	Average fitness:	316.6947482993198	Fitness standard deviation:	41.88329416512566	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1360	Best fitness:	155.8421768707483	Average fitness:	323.3741768707482	Fitness standard deviation:	40.76900458907076	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1376	Best fitness:	155.8421768707483	Average fitness:	323.50846258503407	Fitness standard deviation:	52.2842018329258	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1392	Best fitness:	155.8421768707483	Average fitness:	320.00331972789115	Fitness standard deviation:	47.40682040313075	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1408	Best fitness:	155.8421768707483	Average fitness:	330.3621768707482	Fitness standard deviation:	39.116845997809264	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1424	Best fitness:	155.8421768707483	Average fitness:	314.028462585034	Fitness standard deviation:	44.28011881332805	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1440	Best fitness:	155.8421768707483	Average fitness:	321.792462585034	Fitness standard deviation:	52.163220387001196	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1456	Best fitness:	155.8421768707483	Average fitness:	320.944462585034	Fitness standard deviation:	51.512070973704795	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1472	Best fitness:	155.8421768707483	Average fitness:	322.0850340136055	Fitness standard deviation:	47.09739669567952	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1488	Best fitness:	155.8421768707483	Average fitness:	313.20503401360554	Fitness standard deviation:	49.59604074059599	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1504	Best fitness:	155.8421768707483	Average fitness:	322.52560544217687	Fitness standard deviation:	49.93231495142363	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1520	Best fitness:	155.8421768707483	Average fitness:	313.1496054421769	Fitness standard deviation:	45.85399599705525	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1536	Best fitness:	155.8421768707483	Average fitness:	317.0158911564626	Fitness standard deviation:	45.88891283639353	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1552	Best fitness:	155.8421768707483	Average fitness:	317.43417687074833	Fitness standard deviation:	47.0675731488511	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1568	Best fitness:	155.8421768707483	Average fitness:	321.2393197278912	Fitness standard deviation:	46.1607644155572	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1584	Best fitness:	155.8421768707483	Average fitness:	315.5313197278912	Fitness standard deviation:	42.17268547875266	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1600	Best fitness:	155.8421768707483	Average fitness:	309.7433197278912	Fitness standard deviation:	43.58395331367933	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1616	Best fitness:	155.8421768707483	Average fitness:	320.24560544217684	Fitness standard deviation:	48.96050174479466	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1632	Best fitness:	155.8421768707483	Average fitness:	319.948462585034	Fitness standard deviation:	43.63608843091942	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1648	Best fitness:	155.8421768707483	Average fitness:	311.8398911564626	Fitness standard deviation:	44.072877990520965	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1664	Best fitness:	155.8421768707483	Average fitness:	310.14446258503403	Fitness standard deviation:	43.61560854856005	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1680	Best fitness:	155.8421768707483	Average fitness:	317.85360544217684	Fitness standard deviation:	41.56324867976909	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1696	Best fitness:	155.8421768707483	Average fitness:	317.181605442177	Fitness standard deviation:	43.81907315220585	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1712	Best fitness:	155.8421768707483	Average fitness:	321.3730340136055	Fitness standard deviation:	48.6847243661936	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1728	Best fitness:	155.8421768707483	Average fitness:	323.1741768707484	Fitness standard deviation:	47.51284625944303	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
