Generation:	1296	Best fitness:	123.67074829931973	Average fitness:	315.6981768707484	Fitness standard deviation:	45.85628444590418	Best genome:	A9	A11	N12	E3	N6	A7	A12	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1312	Best fitness:	123.67074829931973	Average fitness:	319.2296054421769	Fitness standard deviation:	48.94702948106666	Best genome:	A9	A11	N12	E3	N6	A7	A12	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1328	Best fitness:	123.61360544217688	Average fitness:	324.4547482993197	Fitness standard deviation:	54.47474971254936	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1344	Best fitness:	123.61360544217688	Average fitness:	315.88674829931983	Fitness standard deviation:	60.727419664448455	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1360	Best fitness:	123.61360544217688	Average fitness:	311.02731972789115	Fitness standard deviation:	54.637246543704514	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1376	Best fitness:	123.61360544217688	Average fitness:	315.18617687074834	Fitness standard deviation:	52.22906469288798	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1392	Best fitness:	123.61360544217688	Average fitness:	322.48789115646264	Fitness standard deviation:	52.176383742150655	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1408	Best fitness:	123.61360544217688	Average fitness:	323.67646258503396	Fitness standard deviation:	43.587650001497686	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1424	Best fitness:	123.61360544217688	Average fitness:	314.1370340136055	Fitness standard deviation:	54.15257099140901	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1440	Best fitness:	123.61360544217688	Average fitness:	308.2547482993197	Fitness standard deviation:	52.86417286377825	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1456	Best fitness:	123.61360544217688	Average fitness:	321.1347482993197	Fitness standard deviation:	50.21326454885265	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1472	Best fitness:	123.61360544217688	Average fitness:	313.0661768707483	Fitness standard deviation:	53.09106950076155	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
Generation:	1488	Best fitness:	123.61360544217688	Average fitness:	324.74331972789116	Fitness standard deviation:	49.74697848193027	Best genome:	A9	A11	N12	E3	N6	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A12	A7	A6	A14	A17	A13	
