Generation:	1168	Best fitness:	114.75646258503401	Average fitness:	270.6578911564625	Fitness standard deviation:	64.0991906568027	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1184	Best fitness:	114.75646258503401	Average fitness:	275.21646258503404	Fitness standard deviation:	74.01333299632229	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1200	Best fitness:	114.75646258503401	Average fitness:	271.1578911564626	Fitness standard deviation:	67.46712243903754	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1216	Best fitness:	114.75646258503401	Average fitness:	260.796462585034	Fitness standard deviation:	57.92792030636357	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1232	Best fitness:	114.75646258503401	Average fitness:	241.9878911564625	Fitness standard deviation:	50.68234720657033	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1248	Best fitness:	114.75646258503401	Average fitness:	243.01074829931972	Fitness standard deviation:	62.79009859550033	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1264	Best fitness:	114.75646258503401	Average fitness:	261.4936054421769	Fitness standard deviation:	59.82416725500742	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1280	Best fitness:	114.75646258503401	Average fitness:	261.776462585034	Fitness standard deviation:	56.91136187268832	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1296	Best fitness:	114.75646258503401	Average fitness:	258.7036054421768	Fitness standard deviation:	54.96823964243129	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1312	Best fitness:	114.75646258503401	Average fitness:	272.1421768707483	Fitness standard deviation:	61.49431929961051	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
