Generation:	1392	Best fitness:	122.8421768707483	Average fitness:	327.5581768707483	Fitness standard deviation:	63.25133136551518	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1408	Best fitness:	122.8421768707483	Average fitness:	317.57474829931977	Fitness standard deviation:	52.36937561559568	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1424	Best fitness:	122.8421768707483	Average fitness:	318.4147482993197	Fitness standard deviation:	49.85063664793141	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1440	Best fitness:	122.8421768707483	Average fitness:	320.9238911564626	Fitness standard deviation:	59.488092723138585	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1456	Best fitness:	122.8421768707483	Average fitness:	326.31989115646263	Fitness standard deviation:	51.96737407886857	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1472	Best fitness:	122.8421768707483	Average fitness:	325.0096054421769	Fitness standard deviation:	46.65833224273527	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1488	Best fitness:	122.8421768707483	Average fitness:	313.76503401360554	Fitness standard deviation:	46.21368902242305	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1504	Best fitness:	122.8421768707483	Average fitness:	323.5558911564627	Fitness standard deviation:	56.78122871484331	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1520	Best fitness:	122.8421768707483	Average fitness:	325.4838911564626	Fitness standard deviation:	50.772392694439446	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1536	Best fitness:	122.8421768707483	Average fitness:	311.3421768707483	Fitness standard deviation:	54.525611956067706	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1552	Best fitness:	122.8421768707483	Average fitness:	322.23303401360545	Fitness standard deviation:	53.39316670794158	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1568	Best fitness:	122.8421768707483	Average fitness:	320.8244625850339	Fitness standard deviation:	55.42571152857652	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1584	Best fitness:	122.8421768707483	Average fitness:	327.72560544217697	Fitness standard deviation:	50.40305848834564	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1600	Best fitness:	122.8421768707483	Average fitness:	323.0170340136054	Fitness standard deviation:	50.34918644824363	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1616	Best fitness:	122.8421768707483	Average fitness:	309.7278911564626	Fitness standard deviation:	52.85862175537262	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1632	Best fitness:	122.8421768707483	Average fitness:	327.7610340136053	Fitness standard deviation:	51.39678362365823	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1648	Best fitness:	122.8421768707483	Average fitness:	318.43760544217696	Fitness standard deviation:	46.78263147444219	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1664	Best fitness:	122.8421768707483	Average fitness:	323.44903401360546	Fitness standard deviation:	50.37601650283474	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1680	Best fitness:	122.8421768707483	Average fitness:	313.1581768707484	Fitness standard deviation:	57.12130862560872	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
