Generation:	992	Best fitness:	143.7278911564626	Average fitness:	278.636462585034	Fitness standard deviation:	48.24315419342533	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	1008	Best fitness:	143.7278911564626	Average fitness:	285.24503401360545	Fitness standard deviation:	55.99633362633518	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	1024	Best fitness:	143.7278911564626	Average fitness:	277.08789115646255	Fitness standard deviation:	61.746895749453486	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	1040	Best fitness:	143.7278911564626	Average fitness:	293.18646258503406	Fitness standard deviation:	54.25783981723428	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	1056	Best fitness:	143.7278911564626	Average fitness:	276.3978911564626	Fitness standard deviation:	62.59997292494687	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	1072	Best fitness:	143.7278911564626	Average fitness:	271.7536054421768	Fitness standard deviation:	48.04662777777777	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	1088	Best fitness:	143.7278911564626	Average fitness:	294.51074829931974	Fitness standard deviation:	49.91856830102892	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	1104	Best fitness:	143.7278911564626	Average fitness:	285.696462585034	Fitness standard deviation:	45.61764418757822	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	1120	Best fitness:	143.7278911564626	Average fitness:	267.19789115646256	Fitness standard deviation:	48.224054862142594	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	1136	Best fitness:	143.7278911564626	Average fitness:	290.68074829931965	Fitness standard deviation:	43.91472374072834	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	1152	Best fitness:	143.7278911564626	Average fitness:	284.87217687074826	Fitness standard deviation:	53.951887466746605	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	1168	Best fitness:	143.7278911564626	Average fitness:	292.47503401360547	Fitness standard deviation:	52.50522716446275	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	1184	Best fitness:	139.87074829931973	Average fitness:	282.06360544217694	Fitness standard deviation:	63.14408264809449	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1200	Best fitness:	139.87074829931973	Average fitness:	294.3450340136054	Fitness standard deviation:	55.63964553357651	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1216	Best fitness:	139.87074829931973	Average fitness:	288.0507482993197	Fitness standard deviation:	57.644348785798385	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1232	Best fitness:	139.87074829931973	Average fitness:	294.2993197278912	Fitness standard deviation:	56.82220103632246	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1248	Best fitness:	139.87074829931973	Average fitness:	258.2921768707483	Fitness standard deviation:	56.73007543784579	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1264	Best fitness:	139.87074829931973	Average fitness:	278.2336054421768	Fitness standard deviation:	46.22539023135247	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1280	Best fitness:	139.87074829931973	Average fitness:	274.8678911564626	Fitness standard deviation:	61.92801014739879	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1296	Best fitness:	139.87074829931973	Average fitness:	299.6450340136054	Fitness standard deviation:	52.59064082173573	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1312	Best fitness:	139.87074829931973	Average fitness:	270.8878911564626	Fitness standard deviation:	47.72658814881419	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1328	Best fitness:	139.87074829931973	Average fitness:	266.23646258503396	Fitness standard deviation:	55.27663166441373	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1344	Best fitness:	139.87074829931973	Average fitness:	281.26360544217687	Fitness standard deviation:	50.13926472682801	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
