Generation:	1520	Best fitness:	131.58503401360545	Average fitness:	292.6578911564626	Fitness standard deviation:	47.43397944641003	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1536	Best fitness:	131.58503401360545	Average fitness:	281.58360544217686	Fitness standard deviation:	58.32946500487642	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1552	Best fitness:	131.58503401360545	Average fitness:	281.9107482993198	Fitness standard deviation:	58.275009100936956	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1568	Best fitness:	131.58503401360545	Average fitness:	288.53503401360547	Fitness standard deviation:	54.380285199393235	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1584	Best fitness:	131.58503401360545	Average fitness:	278.95646258503405	Fitness standard deviation:	58.64280668172529	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1600	Best fitness:	131.58503401360545	Average fitness:	285.65931972789116	Fitness standard deviation:	55.260098458405345	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1616	Best fitness:	131.58503401360545	Average fitness:	262.4836054421769	Fitness standard deviation:	50.87316719859622	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1632	Best fitness:	131.58503401360545	Average fitness:	273.3836054421769	Fitness standard deviation:	46.91426176700276	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1648	Best fitness:	131.58503401360545	Average fitness:	279.0321768707483	Fitness standard deviation:	48.94667258499659	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1664	Best fitness:	131.58503401360545	Average fitness:	269.24074829931976	Fitness standard deviation:	53.593968953262504	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
