Generation:	1136	Best fitness:	169.49931972789116	Average fitness:	330.88960544217684	Fitness standard deviation:	41.404347444022186	Best genome:	A9	N6	N7	A15	A12	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1152	Best fitness:	169.49931972789116	Average fitness:	328.3656054421769	Fitness standard deviation:	42.02402478660637	Best genome:	A9	N6	N7	A15	A12	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1168	Best fitness:	160.49931972789116	Average fitness:	322.0518911564626	Fitness standard deviation:	46.88205944142586	Best genome:	A9	N6	N7	A15	A12	A7	A17	N9	A13	N3	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1184	Best fitness:	160.49931972789116	Average fitness:	331.66731972789125	Fitness standard deviation:	43.73839732420241	Best genome:	A9	N6	N7	A15	A12	A7	A17	N9	A13	N3	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1200	Best fitness:	160.49931972789116	Average fitness:	324.80160544217694	Fitness standard deviation:	50.0158358889809	Best genome:	A9	N6	N7	A15	A12	A7	A17	N9	A13	N3	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1216	Best fitness:	160.49931972789116	Average fitness:	310.1267482993198	Fitness standard deviation:	45.178002579366265	Best genome:	A9	N6	N7	A15	A12	A7	A17	N9	A13	N3	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1232	Best fitness:	160.49931972789116	Average fitness:	329.0753197278911	Fitness standard deviation:	43.9723235256553	Best genome:	A9	N6	N7	A15	A12	A7	A17	N9	A13	N3	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1248	Best fitness:	160.49931972789116	Average fitness:	327.6387482993198	Fitness standard deviation:	42.50940472749195	Best genome:	A9	N6	N7	A15	A12	A7	A17	N9	A13	N3	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1264	Best fitness:	160.49931972789116	Average fitness:	322.8336054421768	Fitness standard deviation:	43.57098988069555	Best genome:	A9	N6	N7	A15	A12	A7	A17	N9	A13	N3	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1280	Best fitness:	155.49931972789116	Average fitness:	321.58160544217674	Fitness standard deviation:	43.48802195491329	Best genome:	A9	N6	N7	A15	A12	A7	A17	N9	A13	N3	E4	N5	A11	A10	N12	E3	A6	A14	A16	E5	A8	
