Generation:	800	Best fitness:	148.756462585034	Average fitness:	271.1436054421769	Fitness standard deviation:	62.632501489698974	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	816	Best fitness:	148.756462585034	Average fitness:	279.99360544217683	Fitness standard deviation:	50.92159567533651	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	832	Best fitness:	148.756462585034	Average fitness:	269.3878911564626	Fitness standard deviation:	51.807953766476714	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	848	Best fitness:	148.756462585034	Average fitness:	281.80646258503396	Fitness standard deviation:	49.24392337939696	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	864	Best fitness:	148.756462585034	Average fitness:	287.96931972789116	Fitness standard deviation:	53.05443756084838	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	880	Best fitness:	148.756462585034	Average fitness:	264.7978911564626	Fitness standard deviation:	46.05537170912104	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	896	Best fitness:	148.756462585034	Average fitness:	265.89646258503404	Fitness standard deviation:	48.42798221301906	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	912	Best fitness:	148.756462585034	Average fitness:	271.20789115646255	Fitness standard deviation:	52.56306424143269	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	928	Best fitness:	148.756462585034	Average fitness:	258.33931972789117	Fitness standard deviation:	44.85796395972788	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	944	Best fitness:	148.756462585034	Average fitness:	259.6021768707482	Fitness standard deviation:	47.75418212265898	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	960	Best fitness:	148.756462585034	Average fitness:	273.9336054421768	Fitness standard deviation:	50.4823886041823	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	976	Best fitness:	146.756462585034	Average fitness:	270.78503401360547	Fitness standard deviation:	54.88015811841327	Best genome:	A13	A17	N5	E4	A11	N12	E3	A15	A6	A14	A12	N7	N6	A10	E5	A8	N9	A16	A9	N3	A7	
Generation:	992	Best fitness:	146.756462585034	Average fitness:	267.5893197278912	Fitness standard deviation:	47.22605323422266	Best genome:	A13	A17	N5	E4	A11	N12	E3	A15	A6	A14	A12	N7	N6	A10	E5	A8	N9	A16	A9	N3	A7	
Generation:	1008	Best fitness:	146.756462585034	Average fitness:	271.12074829931976	Fitness standard deviation:	44.87234126055918	Best genome:	A13	A17	N5	E4	A11	N12	E3	A15	A6	A14	A12	N7	N6	A10	E5	A8	N9	A16	A9	N3	A7	
Generation:	1024	Best fitness:	146.756462585034	Average fitness:	257.876462585034	Fitness standard deviation:	56.501557572895855	Best genome:	A13	A17	N5	E4	A11	N12	E3	A15	A6	A14	A12	N7	N6	A10	E5	A8	N9	A16	A9	N3	A7	
Generation:	1040	Best fitness:	146.756462585034	Average fitness:	261.1778911564626	Fitness standard deviation:	49.1862946523994	Best genome:	A13	A17	N5	E4	A11	N12	E3	A15	A6	A14	A12	N7	N6	A10	E5	A8	N9	A16	A9	N3	A7	
Generation:	1056	Best fitness:	146.756462585034	Average fitness:	258.6478911564626	Fitness standard deviation:	53.828436912176485	Best genome:	A13	A17	N5	E4	A11	N12	E3	A15	A6	A14	A12	N7	N6	A10	E5	A8	N9	A16	A9	N3	A7	
Generation:	1072	Best fitness:	146.756462585034	Average fitness:	278.85931972789115	Fitness standard deviation:	46.85880345489511	Best genome:	A13	A17	N5	E4	A11	N12	E3	A15	A6	A14	A12	N7	N6	A10	E5	A8	N9	A16	A9	N3	A7	
Generation:	1088	Best fitness:	146.756462585034	Average fitness:	271.3436054421768	Fitness standard deviation:	48.62093147555917	Best genome:	A13	A17	N5	E4	A11	N12	E3	A15	A6	A14	A12	N7	N6	A10	E5	A8	N9	A16	A9	N3	A7	
