Generation:	1520	Best fitness:	108.75646258503401	Average fitness:	247.30360544217683	Fitness standard deviation:	57.48267975163102	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1536	Best fitness:	108.75646258503401	Average fitness:	285.8321768707483	Fitness standard deviation:	63.80136411759005	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1552	Best fitness:	108.75646258503401	Average fitness:	257.49074829931976	Fitness standard deviation:	62.39911243481802	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1568	Best fitness:	108.75646258503401	Average fitness:	258.8407482993197	Fitness standard deviation:	61.515585863109784	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1584	Best fitness:	108.75646258503401	Average fitness:	264.78931972789115	Fitness standard deviation:	59.90352534684075	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1600	Best fitness:	108.75646258503401	Average fitness:	257.6850340136054	Fitness standard deviation:	59.90483303046728	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1616	Best fitness:	108.75646258503401	Average fitness:	264.49074829931976	Fitness standard deviation:	54.40490606628811	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1632	Best fitness:	108.75646258503401	Average fitness:	266.74217687074827	Fitness standard deviation:	50.0807058860078	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1648	Best fitness:	108.75646258503401	Average fitness:	258.17503401360534	Fitness standard deviation:	59.22642424265903	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1664	Best fitness:	108.75646258503401	Average fitness:	257.72789115646253	Fitness standard deviation:	70.94495077746073	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1680	Best fitness:	108.75646258503401	Average fitness:	283.5321768707483	Fitness standard deviation:	70.97814568799414	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1696	Best fitness:	108.75646258503401	Average fitness:	269.79931972789115	Fitness standard deviation:	59.58511627606892	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1712	Best fitness:	108.75646258503401	Average fitness:	277.40217687074835	Fitness standard deviation:	62.37109050363193	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1728	Best fitness:	108.75646258503401	Average fitness:	265.1221768707483	Fitness standard deviation:	51.86515451689336	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1744	Best fitness:	108.75646258503401	Average fitness:	256.94646258503406	Fitness standard deviation:	54.57152301786892	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1760	Best fitness:	108.75646258503401	Average fitness:	265.3921768707483	Fitness standard deviation:	61.44987861365272	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
