Generation:	752	Best fitness:	157.7278911564626	Average fitness:	284.4221768707483	Fitness standard deviation:	60.86994238303734	Best genome:	A9	E4	A10	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	768	Best fitness:	157.7278911564626	Average fitness:	282.65789115646254	Fitness standard deviation:	43.5573649200168	Best genome:	A9	E4	A10	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	784	Best fitness:	157.7278911564626	Average fitness:	269.6450340136054	Fitness standard deviation:	49.09759701505829	Best genome:	A9	E4	A10	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	800	Best fitness:	157.7278911564626	Average fitness:	282.3678911564626	Fitness standard deviation:	50.25347944091401	Best genome:	A9	E4	A10	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	816	Best fitness:	157.7278911564626	Average fitness:	263.4178911564626	Fitness standard deviation:	56.25861804276419	Best genome:	A9	E4	A10	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	832	Best fitness:	154.67074829931974	Average fitness:	272.486462585034	Fitness standard deviation:	49.10182545756629	Best genome:	A9	E4	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	848	Best fitness:	154.67074829931974	Average fitness:	271.8850340136055	Fitness standard deviation:	44.30367331709364	Best genome:	A9	E4	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	864	Best fitness:	145.67074829931974	Average fitness:	271.45789115646255	Fitness standard deviation:	42.057228721767935	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	880	Best fitness:	145.67074829931974	Average fitness:	283.28503401360547	Fitness standard deviation:	57.04938247532857	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	896	Best fitness:	145.67074829931974	Average fitness:	280.10789115646264	Fitness standard deviation:	55.42675483032006	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	912	Best fitness:	145.67074829931974	Average fitness:	280.51931972789123	Fitness standard deviation:	47.89899500458208	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	928	Best fitness:	145.67074829931974	Average fitness:	287.73360544217684	Fitness standard deviation:	58.96981905334011	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	944	Best fitness:	145.67074829931974	Average fitness:	276.81217687074826	Fitness standard deviation:	50.55863879835826	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
